GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
aac(6')-It_1_AF031328	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
aac(6')-Iu_1_AF031329	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
aac(6')-Iv_1_AF031330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iw_1_AF031331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iz_1_AF140221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iad_1_AB119105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iae_1_AB104852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iaf_1_AB462903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iai_1_EU886977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-I30_1_AY289608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
aac(6')-31_1_AM283489	0	5	23	0	0	0	4	0	3	0	0	0	0	0	0	0	0	2
aac(6')-32_1_EF614235	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
aac(6')-33_1_GQ337064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-IIa_1_M29695	4	171	216	0	2	38	0	122	510	14	95	25	0	144	46	2	17	168
aac(6')-IIb_1_L06163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-IIc_1_NC_012555	0	18	16	2	0	13	0	2	16	2	3	1	6	2	3	6	1	17
aac(6')-aph(2'')_1_M13771	1	1	0	12	2	1	0	0	4	0	1	1	0	3	5	0	0	10
aac(6')-Isa_1_AB116646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ib3_1_X60321	5	84	117	5	2	21	4	33	73	2	4	6	2	65	8	2	16	82
aacA43_1_HQ247816	0	0	0	0	0	4	1	0	1	0	0	0	0	1	0	0	5	0
ant(3'')-Ia_1_X02340	47	251	314	22	44	109	20	96	288	55	44	49	33	186	113	26	48	184
aadA1_2_FJ591054	1	11	10	1	0	15	0	4	37	0	0	6	1	12	5	2	4	8
aadA1_3_JQ414041	0	30	24	2	0	31	1	9	60	4	4	11	2	47	12	5	8	28
aadA1b_1_M95287	0	7	8	0	1	8	3	5	15	2	0	3	0	4	0	0	5	4
aadA1_4_JQ480156	2	21	9	1	0	16	1	7	48	2	4	5	1	22	8	1	6	14
