clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0.00671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01877	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	0.00635	0.0	0.0	0.0	0.0	0.00324	0.00421	0.0	0.13898	0.38347	0.00548	0.0	0.0	0.0	0.02016	0.0	0.0	0.00869
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945	0.00608	0.02896	0.12936	0.0	0.0	1.23117	0.0508	0.01754	0.113	0.0	0.0	0.60688	0.0	0.06093	0.0	0.0	0.00377	0.19694
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00341	0.03975	0.02222	3.25669	0.2165	0.26495	0.07845	0.21311	0.22774	0.42405	0.14276	0.15563	0.21178	1.12244	0.0	0.06531	2.12095	0.18042
k__Bacteria|p__Acidobacteria|c__CFGB42124|o__OFGB42124	0.00221	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.00214	0.00737	0.00998	0.0	0.0	0.00584	0.00013	0.0	0.00491	0.09497	0.3256	0.01005	0.07645	0.04306	0.01874	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0.00201	4.32758	11.78204	0.52344	1.04475	0.73333	0.055	1.14739	0.86748	0.67899	1.22291	0.34524	0.38832	0.3007	3.87056	0.29604	0.19757	0.7331
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00178	0.0	0.0	0.0	0.0	0.10054	0.00553	0.0097	0.0	0.0	0.0	0.00485	0.0	0.0	0.0	0.0	0.00021	0.00346
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	0.00164	0.00973	0.01413	0.05172	0.0	0.09512	0.0	0.0	0.04982	0.0	0.0	0.0427	0.0	0.02438	0.00155	0.0	0.03621	0.06172
k__Bacteria|p__Proteobacteria|c__CFGB8587|o__OFGB8587	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	36.31414	0.4136	0.51876	1.78639	0.25359	1.14827	1.09287	1.02638	3.05523	0.22522	0.22892	2.76926	1.10721	0.40595	0.55378	0.04339	0.99824	0.84979
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	15.69105	21.12621	19.71278	3.99582	4.96988	34.87648	9.57824	2.75597	20.35124	16.7638	3.76735	28.97344	1.20908	13.09136	39.22711	2.0847	56.34783	17.02284
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	9.04055	0.41067	0.29249	2.59215	0.25655	0.0652	0.05942	0.21915	2.19196	4.85841	0.5641	0.14875	1.38581	0.08061	0.4318	0.31276	0.30778	0.28739
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	8.56101	4.43398	1.80951	44.80737	3.22265	3.97155	18.31707	7.54301	12.02763	17.42155	26.71562	10.42817	16.30669	4.1767	6.46962	0.00358	8.40685	9.37035
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	8.13694	0.24985	0.13868	1.80049	2.98787	1.78076	0.00096	0.02368	1.67259	1.27939	0.6202	0.56887	2.80533	6.18777	0.64175	0.04715	0.18416	0.72937
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	3.50365	22.70836	0.81053	4.4599	32.55967	11.75366	15.59458	46.70344	6.44113	2.47062	12.99979	11.25493	13.8068	13.17837	2.08099	73.22882	3.32752	2.33623
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae	3.49857	0.37777	1.29254	0.0	0.0423	0.39996	0.0	0.06205	0.26299	0.0	0.0	0.79082	0.0	0.12748	0.02363	0.01848	0.13865	0.2501
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae	3.3362	0.0	0.00728	0.0	0.0	0.0	0.0	0.04258	0.0	0.0	0.0	0.0	0.0	0.0	0.01706	0.0	0.0	0.01551
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	3.33241	2.24316	9.40993	1.17399	2.01121	3.58336	0.17134	1.80748	1.83976	5.27507	0.32783	6.67591	0.13052	2.79625	0.17182	0.1108	3.64191	1.71144
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Reyranellaceae	2.1333	0.07457	0.31076	0.03182	0.03729	0.05913	0.02397	0.05731	0.42758	0.08764	0.49037	0.03999	0.08008	0.37823	0.04247	0.00502	0.11357	0.0539
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	1.0825	0.0	0.00046	0.03226	0.00211	0.0	0.76165	0.00811	0.0	0.25559	0.11459	0.02124	3.96191	0.0	0.58626	0.0	0.00217	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0.89424	1.52729	5.25538	0.0	0.2591	0.95956	0.19983	0.30946	1.55649	0.33869	0.0049	0.59334	0.10026	0.68655	0.4112	0.0828	0.11396	11.04514
